ID	Time	Pop	Capture name
Ind. 2	0	P	Cap:t=0
Ind. 3	0	P	Cap:t=0
Ind. 8	0	P	Cap:t=0
Ind. 10	0	P	Cap:t=0
Ind. 14	0	P	Cap:t=0
Ind. 16	0	P	Cap:t=0
Ind. 17	0	P	Cap:t=0
Ind. 18	0	P	Cap:t=0
Ind. 19	0	P	Cap:t=0
Ind. 21	0	P	Cap:t=0
Ind. 24	0	P	Cap:t=0
Ind. 26	0	P	Cap:t=0
Ind. 29	0	P	Cap:t=0
Ind. 31	0	P	Cap:t=0
Ind. 34	0	P	Cap:t=0
Ind. 38	0	P	Cap:t=0
Ind. 39	0	P	Cap:t=0
Ind. 40	0	P	Cap:t=0
Ind. 45	0	P	Cap:t=0
Ind. 50	0	P	Cap:t=0
Ind. 52	0	P	Cap:t=0
Ind. 63	0	P	Cap:t=0
Ind. 64	0	P	Cap:t=0
Ind. 67	0	P	Cap:t=0
Ind. 70	0	P	Cap:t=0
Ind. 71	0	P	Cap:t=0
Ind. 75	0	P	Cap:t=0
Ind. 78	0	P	Cap:t=0
Ind. 86	0	P	Cap:t=0
Ind. 87	0	P	Cap:t=0
Ind. 89	0	P	Cap:t=0
Ind. 94	0	P	Cap:t=0
Ind. 9	1	P	Cap:t=1
Ind. 10	1	P	Cap:t=1
Ind. 12	1	P	Cap:t=1
Ind. 13	1	P	Cap:t=1
Ind. 20	1	P	Cap:t=1
Ind. 21	1	P	Cap:t=1
Ind. 23	1	P	Cap:t=1
Ind. 27	1	P	Cap:t=1
Ind. 30	1	P	Cap:t=1
Ind. 31	1	P	Cap:t=1
Ind. 40	1	P	Cap:t=1
Ind. 43	1	P	Cap:t=1
Ind. 48	1	P	Cap:t=1
Ind. 56	1	P	Cap:t=1
Ind. 62	1	P	Cap:t=1
Ind. 63	1	P	Cap:t=1
Ind. 64	1	P	Cap:t=1
Ind. 67	1	P	Cap:t=1
Ind. 68	1	P	Cap:t=1
Ind. 74	1	P	Cap:t=1
Ind. 77	1	P	Cap:t=1
Ind. 79	1	P	Cap:t=1
Ind. 80	1	P	Cap:t=1
Ind. 86	1	P	Cap:t=1
Ind. 87	1	P	Cap:t=1
Ind. 88	1	P	Cap:t=1
Ind. 91	1	P	Cap:t=1
Ind. 94	1	P	Cap:t=1
Ind. 95	1	P	Cap:t=1
Ind. 101	1	P	Cap:t=1
Ind. 103	1	P	Cap:t=1
Ind. 107	1	P	Cap:t=1
Ind. 109	1	P	Cap:t=1
Ind. 110	1	P	Cap:t=1
Ind. 111	1	P	Cap:t=1
Ind. 112	1	P	Cap:t=1
Ind. 113	1	P	Cap:t=1
Ind. 4	2	P	Cap:t=2
Ind. 11	2	P	Cap:t=2
Ind. 12	2	P	Cap:t=2
Ind. 13	2	P	Cap:t=2
Ind. 21	2	P	Cap:t=2
Ind. 22	2	P	Cap:t=2
Ind. 27	2	P	Cap:t=2
Ind. 29	2	P	Cap:t=2
Ind. 31	2	P	Cap:t=2
Ind. 33	2	P	Cap:t=2
Ind. 35	2	P	Cap:t=2
Ind. 36	2	P	Cap:t=2
Ind. 39	2	P	Cap:t=2
Ind. 40	2	P	Cap:t=2
Ind. 43	2	P	Cap:t=2
Ind. 46	2	P	Cap:t=2
Ind. 48	2	P	Cap:t=2
Ind. 50	2	P	Cap:t=2
Ind. 52	2	P	Cap:t=2
Ind. 58	2	P	Cap:t=2
Ind. 59	2	P	Cap:t=2
Ind. 64	2	P	Cap:t=2
Ind. 65	2	P	Cap:t=2
Ind. 69	2	P	Cap:t=2
Ind. 70	2	P	Cap:t=2
Ind. 81	2	P	Cap:t=2
Ind. 85	2	P	Cap:t=2
Ind. 88	2	P	Cap:t=2
Ind. 89	2	P	Cap:t=2
Ind. 91	2	P	Cap:t=2
Ind. 92	2	P	Cap:t=2
Ind. 93	2	P	Cap:t=2
Ind. 102	2	P	Cap:t=2
Ind. 103	2	P	Cap:t=2
Ind. 111	2	P	Cap:t=2
Ind. 112	2	P	Cap:t=2
Ind. 113	2	P	Cap:t=2
Ind. 116	2	P	Cap:t=2
Ind. 119	2	P	Cap:t=2
