ID	Time	DS test	Capture name
Ind. 2	0	0	Cap:t=0
Ind. 3	0	1	Cap:t=0
Ind. 4	0	0	Cap:t=0
Ind. 5	0	0	Cap:t=0
Ind. 8	0	0	Cap:t=0
Ind. 12	0	0	Cap:t=0
Ind. 14	0	0	Cap:t=0
Ind. 15	0	1	Cap:t=0
Ind. 19	0	0	Cap:t=0
Ind. 21	0	0	Cap:t=0
Ind. 24	0	1	Cap:t=0
Ind. 28	0	1	Cap:t=0
Ind. 32	0	1	Cap:t=0
Ind. 40	0	0	Cap:t=0
Ind. 43	0	1	Cap:t=0
Ind. 46	0	1	Cap:t=0
Ind. 47	0	0	Cap:t=0
Ind. 48	0	0	Cap:t=0
Ind. 49	0	1	Cap:t=0
Ind. 50	0	1	Cap:t=0
Ind. 53	0	0	Cap:t=0
Ind. 54	0	1	Cap:t=0
Ind. 57	0	0	Cap:t=0
Ind. 60	0	1	Cap:t=0
Ind. 62	0	1	Cap:t=0
Ind. 64	0	0	Cap:t=0
Ind. 67	0	1	Cap:t=0
Ind. 68	0	0	Cap:t=0
Ind. 69	0	1	Cap:t=0
Ind. 70	0	0	Cap:t=0
Ind. 72	0	1	Cap:t=0
Ind. 77	0	1	Cap:t=0
Ind. 80	0	1	Cap:t=0
Ind. 81	0	1	Cap:t=0
Ind. 82	0	0	Cap:t=0
Ind. 87	0	1	Cap:t=0
Ind. 88	0	0	Cap:t=0
Ind. 89	0	1	Cap:t=0
Ind. 91	0	0	Cap:t=0
Ind. 92	0	0	Cap:t=0
Ind. 94	0	0	Cap:t=0
Ind. 96	0	1	Cap:t=0
Ind. 97	0	1	Cap:t=0
Ind. 98	0	0	Cap:t=0
Ind. 101	0	0	Cap:t=0
Ind. 107	0	0	Cap:t=0
Ind. 108	0	0	Cap:t=0
Ind. 110	0	0	Cap:t=0
Ind. 115	0	0	Cap:t=0
Ind. 116	0	0	Cap:t=0
Ind. 118	0	0	Cap:t=0
Ind. 119	0	0	Cap:t=0
Ind. 120	0	0	Cap:t=0
Ind. 121	0	0	Cap:t=0
Ind. 123	0	0	Cap:t=0
Ind. 125	0	1	Cap:t=0
Ind. 126	0	0	Cap:t=0
Ind. 127	0	0	Cap:t=0
Ind. 129	0	0	Cap:t=0
Ind. 134	0	0	Cap:t=0
Ind. 138	0	0	Cap:t=0
Ind. 140	0	0	Cap:t=0
Ind. 141	0	0	Cap:t=0
Ind. 145	0	0	Cap:t=0
Ind. 148	0	0	Cap:t=0
Ind. 149	0	1	Cap:t=0
Ind. 150	0	0	Cap:t=0
Ind. 151	0	0	Cap:t=0
Ind. 152	0	0	Cap:t=0
Ind. 154	0	0	Cap:t=0
Ind. 155	0	0	Cap:t=0
Ind. 156	0	0	Cap:t=0
Ind. 157	0	0	Cap:t=0
Ind. 158	0	0	Cap:t=0
Ind. 159	0	0	Cap:t=0
Ind. 160	0	1	Cap:t=0
Ind. 162	0	0	Cap:t=0
Ind. 167	0	0	Cap:t=0
Ind. 169	0	0	Cap:t=0
Ind. 174	0	0	Cap:t=0
Ind. 177	0	0	Cap:t=0
Ind. 180	0	0	Cap:t=0
Ind. 182	0	0	Cap:t=0
Ind. 193	0	0	Cap:t=0
Ind. 194	0	0	Cap:t=0
Ind. 197	0	0	Cap:t=0
Ind. 199	0	0	Cap:t=0
Ind. 2	5	1	Cap:t=5
Ind. 3	5	0	Cap:t=5
