State,"β","μ"
0,0.00397029,0.10914
10,0.00471502,0.107204
20,0.00543767,0.102774
30,0.00513807,0.108396
40,0.00510306,0.11502
50,0.00442064,0.116258
60,0.0036734,0.104998
70,0.00439863,0.106345
80,0.00434886,0.116247
90,0.00379701,0.120597
100,0.00360308,0.110651
110,0.00364718,0.115864
120,0.00384513,0.107937
130,0.00444443,0.101298
140,0.00433742,0.118152
150,0.00436735,0.115504
160,0.00478201,0.12169
170,0.00387457,0.117979
180,0.00391788,0.118906
190,0.00396102,0.12589
200,0.00426347,0.110953
210,0.00510973,0.110024
220,0.00440556,0.107054
230,0.00502362,0.105702
240,0.00419544,0.102229
250,0.00438374,0.101285
260,0.00386913,0.0991486
270,0.0041274,0.0860741
280,0.00391817,0.0903732
290,0.0046434,0.0977176
300,0.00483265,0.0973402
310,0.00451224,0.104088
320,0.00493295,0.106597
330,0.00423943,0.100114
340,0.00484665,0.116311
350,0.00449106,0.108439
360,0.00435751,0.114486
370,0.00493185,0.119006
380,0.00513435,0.117286
390,0.00397339,0.119173
400,0.00414764,0.114347
410,0.00399232,0.119269
420,0.00460973,0.107433
430,0.00509126,0.111529
440,0.00383674,0.100314
450,0.0039617,0.106554
460,0.00520281,0.108779
470,0.00466308,0.11855
480,0.00474927,0.117076
490,0.00459169,0.110798
500,0.0043752,0.110976
510,0.00377145,0.121602
520,0.00460527,0.120054
530,0.00492104,0.124376
540,0.00448292,0.120159
550,0.0045948,0.101175
560,0.00388113,0.110714
570,0.00377448,0.119427
580,0.00402526,0.109003
590,0.00445694,0.113197
600,0.00446391,0.12549
610,0.00424132,0.115466
620,0.00434384,0.110911
630,0.00341271,0.105711
640,0.00411082,0.104585
650,0.00475335,0.106344
660,0.00442447,0.100903
670,0.00412095,0.0987287
680,0.00440604,0.0886888
690,0.0038468,0.0972559
700,0.00363352,0.108316
710,0.00365653,0.101861
720,0.00446428,0.104008
730,0.00467456,0.104533
740,0.00404623,0.0995961
750,0.00414517,0.105892
760,0.00396905,0.108515
770,0.00404939,0.114766
780,0.00372653,0.118046
790,0.00321386,0.129758
800,0.00343246,0.130633
810,0.00418668,0.119578
820,0.00442903,0.109487
830,0.00410747,0.102774
840,0.0045899,0.0947656
850,0.00366559,0.113661
860,0.00453672,0.11724
870,0.00422047,0.121378
880,0.00440144,0.124485
890,0.00420091,0.1129
900,0.00494813,0.118504
910,0.00464985,0.11479
920,0.00394415,0.118503
930,0.00425626,0.121558
940,0.00440109,0.121267
950,0.00386171,0.115958
960,0.00426122,0.111749
970,0.00414793,0.0913871
980,0.00429699,0.0873225
990,0.00443738,0.0753986
