State,"β","μ"
0,0.00367359,0.10838
10,0.00350571,0.106614
20,0.0041133,0.105138
30,0.00370449,0.104938
40,0.00380586,0.110979
50,0.00314757,0.118077
60,0.00280564,0.107809
70,0.00350523,0.105732
80,0.00368566,0.115603
90,0.00290382,0.124246
100,0.00355584,0.107065
110,0.00305019,0.111819
120,0.00332941,0.10459
130,0.00329584,0.0985349
140,0.00321359,0.113905
150,0.00322238,0.111491
160,0.00358849,0.119827
170,0.00281332,0.11869
180,0.00317711,0.119536
190,0.00302013,0.124166
200,0.00320871,0.105931
210,0.00373133,0.101955
220,0.0030502,0.100676
230,0.00346727,0.100293
240,0.00306072,0.0937548
250,0.00296957,0.0928935
260,0.00299203,0.0946954
270,0.00336282,0.0877196
280,0.00295671,0.0847838
290,0.0031268,0.0943667
300,0.00368457,0.0987803
310,0.00388743,0.108376
320,0.00345305,0.107383
330,0.00313202,0.0980988
340,0.00349311,0.11287
350,0.00298251,0.111895
360,0.00354318,0.117263
370,0.00363805,0.116507
380,0.00370948,0.123937
390,0.00322008,0.125657
400,0.00332341,0.121672
410,0.00299642,0.121466
420,0.00399247,0.110672
430,0.00355889,0.114407
440,0.00305225,0.108394
450,0.00317279,0.110362
460,0.00347689,0.112392
470,0.00345265,0.126075
480,0.00370351,0.128483
490,0.00345692,0.118815
500,0.00324809,0.118978
510,0.0026011,0.128668
520,0.00384886,0.12494
530,0.00384606,0.131766
540,0.00360401,0.125064
550,0.00365338,0.107752
560,0.0034833,0.114109
570,0.00326378,0.122275
580,0.00324206,0.109358
590,0.00329188,0.113183
600,0.00337441,0.120478
610,0.0036945,0.11186
620,0.0035006,0.107706
630,0.00256336,0.108608
640,0.00297317,0.107581
650,0.00332132,0.103775
660,0.00336302,0.0909855
670,0.00340199,0.0968952
680,0.00333448,0.0906963
690,0.00306119,0.096658
700,0.003047,0.106745
710,0.00292161,0.100858
720,0.00341646,0.102815
730,0.00370104,0.101254
740,0.00309493,0.0967521
750,0.0031854,0.0992472
760,0.00301551,0.106483
770,0.0026516,0.112184
780,0.00316983,0.115175
790,0.00302094,0.123482
800,0.00313423,0.12428
810,0.00344483,0.112874
820,0.00325046,0.104507
830,0.00353339,0.102647
840,0.00338746,0.0967147
850,0.00315986,0.108407
860,0.00395179,0.119597
870,0.00346268,0.124889
880,0.00364056,0.122986
890,0.00332842,0.112421
900,0.00405219,0.120656
910,0.00366523,0.112873
920,0.00298448,0.119679
930,0.00305744,0.115486
940,0.00318636,0.1175
950,0.00282254,0.112658
960,0.00310219,0.10882
970,0.00322101,0.0947183
980,0.00315886,0.0900145
990,0.00364801,0.0853003
