ID,t,DS
Ind. 23,70,Sa
Ind. 23,80,Sa
Ind. 23,90,Sa
Ind. 23,100,Sa
Ind. 24,10,Sa
Ind. 24,20,Sa
Ind. 24,30,I
Ind. 24,40,I
Ind. 24,50,R
Ind. 24,60,R
Ind. 24,70,R
Ind. 24,80,R
Ind. 24,90,R
Ind. 24,100,R
Ind. 25,10,Sa
Ind. 25,20,Sa
Ind. 25,30,Sa
Ind. 25,40,Sa
Ind. 25,50,Sa
Ind. 25,60,Sa
Ind. 25,70,Sa
Ind. 25,80,Sa
Ind. 25,90,Sa
Ind. 25,100,Sa
Ind. 26,10,Sa
Ind. 26,20,Sa
Ind. 26,30,Sa
Ind. 26,40,Sa
Ind. 26,50,Sa
Ind. 26,60,I
Ind. 26,70,I
Ind. 26,80,R
Ind. 26,90,R
Ind. 26,100,R
Ind. 27,10,Sa
Ind. 27,20,Sa
Ind. 27,30,I
Ind. 27,40,R
Ind. 27,50,R
Ind. 27,60,R
Ind. 27,70,R
Ind. 27,80,R
Ind. 27,90,R
Ind. 27,100,R
Ind. 28,10,Sa
Ind. 28,20,Sa
Ind. 28,30,Sa
Ind. 28,40,R
Ind. 28,50,R
Ind. 28,60,R
Ind. 28,70,R
Ind. 28,80,R
Ind. 28,90,R
Ind. 28,100,R
Ind. 29,10,Sa
Ind. 29,20,I
Ind. 29,30,I
Ind. 29,40,R
Ind. 29,50,R
Ind. 29,60,R
Ind. 29,70,R
Ind. 29,80,R
Ind. 29,90,R
Ind. 29,100,R
Ind. 30,10,Sa
Ind. 30,20,Sa
Ind. 30,30,Sa
Ind. 30,40,Sa
Ind. 30,50,Sa
Ind. 30,60,I
Ind. 30,70,I
Ind. 30,80,I
Ind. 30,90,I
Ind. 30,100,I
Ind. 31,10,Sa
Ind. 31,20,Sa
Ind. 31,30,Sa
Ind. 31,40,Sa
Ind. 31,50,Sa
Ind. 31,60,Sa
Ind. 31,70,Sa
Ind. 31,80,Sa
Ind. 31,90,I
Ind. 31,100,I
Ind. 32,10,Sa
Ind. 32,20,Sa
Ind. 32,30,Sa
Ind. 32,40,Sa
Ind. 32,50,Sa
Ind. 32,60,Sa
Ind. 32,70,Sa
Ind. 32,80,Sa
Ind. 32,90,Sa
Ind. 32,100,Sa
Ind. 33,10,I
Ind. 33,20,R
Ind. 33,30,R
Ind. 33,40,R
Ind. 33,50,R
Ind. 33,60,R
Ind. 33,70,R
Ind. 33,80,R
Ind. 33,90,R
Ind. 33,100,R
Ind. 34,10,Sa
Ind. 34,20,Sa
Ind. 34,30,Sa
Ind. 34,40,Sa
Ind. 34,50,Sa
Ind. 34,60,Sa
Ind. 34,70,Sa
Ind. 34,80,I
Ind. 34,90,I
Ind. 34,100,R
Ind. 35,10,Sa
Ind. 35,20,Sa
Ind. 35,30,Sa
Ind. 35,40,Sa
Ind. 35,50,Sa
Ind. 35,60,Sa
Ind. 35,70,Sa
Ind. 35,80,R
Ind. 35,90,R
Ind. 35,100,R
Ind. 36,10,Sa
Ind. 36,20,Sa
Ind. 36,30,Sa
Ind. 36,40,Sa
Ind. 36,50,Sa
Ind. 36,60,Sa
Ind. 36,70,Sa
Ind. 36,80,Sa
Ind. 36,90,Sa
Ind. 36,100,Sa
Ind. 37,10,Sa
Ind. 37,20,Sa
Ind. 37,30,Sa
Ind. 37,40,Sa
Ind. 37,50,Sa
Ind. 37,60,Sa
Ind. 37,70,Sa
Ind. 37,80,Sa
Ind. 37,90,Sa
Ind. 37,100,Sa
Ind. 38,10,Sa
Ind. 38,20,Sa
Ind. 38,30,Sa
