"ID","t","DS"
"Ind. 19",20,"Sa"
"Ind. 19",30,"Sa"
"Ind. 19",40,"Sa"
"Ind. 19",50,"Sa"
"Ind. 19",60,"Ia"
"Ind. 19",70,"R"
"Ind. 19",80,"R"
"Ind. 19",90,"R"
"Ind. 19",100,"R"
"Ind. 20",10,"Sa"
"Ind. 20",20,"Sa"
"Ind. 20",30,"Sa"
"Ind. 20",40,"Sa"
"Ind. 20",50,"Sa"
"Ind. 20",60,"Sa"
"Ind. 20",70,"Sa"
"Ind. 20",80,"Sa"
"Ind. 20",90,"Sa"
"Ind. 20",100,"Ia"
"Ind. 21",10,"Sa"
"Ind. 21",20,"Sa"
"Ind. 21",30,"Sa"
"Ind. 21",40,"Sa"
"Ind. 21",50,"Sa"
"Ind. 21",60,"R"
"Ind. 21",70,"R"
"Ind. 21",80,"R"
"Ind. 21",90,"R"
"Ind. 21",100,"R"
"Ind. 22",10,"Sa"
"Ind. 22",20,"Sa"
"Ind. 22",30,"Sa"
"Ind. 22",40,"Sa"
"Ind. 22",50,"R"
"Ind. 22",60,"R"
"Ind. 22",70,"R"
"Ind. 22",80,"R"
"Ind. 22",90,"R"
"Ind. 22",100,"R"
"Ind. 23",10,"Sa"
"Ind. 23",20,"Sa"
"Ind. 23",30,"Sa"
"Ind. 23",40,"Sa"
"Ind. 23",50,"Sa"
"Ind. 23",60,"Sa"
"Ind. 23",70,"Sa"
"Ind. 23",80,"Sa"
"Ind. 23",90,"Sa"
"Ind. 23",100,"Ia"
"Ind. 24",10,"Sa"
"Ind. 24",20,"Sa"
"Ind. 24",30,"Sa"
"Ind. 24",40,"Sa"
"Ind. 24",50,"Sa"
"Ind. 24",60,"Sa"
"Ind. 24",70,"Ia"
"Ind. 24",80,"R"
"Ind. 24",90,"R"
"Ind. 24",100,"R"
"Ind. 25",10,"Sa"
"Ind. 25",20,"Sa"
"Ind. 25",30,"Sa"
"Ind. 25",40,"Sa"
"Ind. 25",50,"Sa"
"Ind. 25",60,"Ia"
"Ind. 25",70,"Ia"
"Ind. 25",80,"R"
"Ind. 25",90,"R"
"Ind. 25",100,"R"
"Ind. 26",10,"Sa"
"Ind. 26",20,"Sa"
"Ind. 26",30,"Sa"
"Ind. 26",40,"Sa"
"Ind. 26",50,"Sa"
"Ind. 26",60,"Sa"
"Ind. 26",70,"Ia"
"Ind. 26",80,"Ia"
"Ind. 26",90,"R"
"Ind. 26",100,"R"
"Ind. 27",10,"Sa"
"Ind. 27",20,"Sa"
"Ind. 27",30,"Sa"
