"DS","Location","Population"
"S","Tokyo",39105000
"I","Tokyo",2
"R","Tokyo",0
"S","Jakarta",35362000
"I","Jakarta",0
"R","Jakarta",0
"S","Delhi",31870000
"I","Delhi",0
"R","Delhi",0
"S","Manila",23971000
"I","Manila",0
"R","Manila",0
"S","Sao-Paulo",22495000
"I","Sao-Paulo",0
"R","Sao-Paulo",0
"S","Seoul",22394000
"I","Seoul",0
"R","Seoul",0
"S","Mumbai",22186000
"I","Mumbai",0
"R","Mumbai",0
"S","Shanghai",22118000
"I","Shanghai",0
"R","Shanghai",0
"S","Mexico-City",21505000
"I","Mexico-City",0
"R","Mexico-City",0
"S","Guangzhou",21489000
"I","Guangzhou",0
"R","Guangzhou",0
"S","Cairo",19787000
"I","Cairo",0
"R","Cairo",0
"S","Beijing",19437000
"I","Beijing",0
"R","Beijing",0
"S","New-York",18713220
"I","New-York",0
"R","New-York",0
"S","Kolkata",18698000
"I","Kolkata",0
"R","Kolkata",0
"S","Moscow",17693000
"I","Moscow",0
"R","Moscow",0
"S","Bangkok",17573000
"I","Bangkok",0
"R","Bangkok",0
"S","Dhaka",16839000
"I","Dhaka",0
"R","Dhaka",0
"S","Buenos-Aires",16216000
"I","Buenos-Aires",0
"R","Buenos-Aires",0
"S","Osaka",15490000
"I","Osaka",0
"R","Osaka",0
"S","Lagos",15487000
"I","Lagos",0
"R","Lagos",0
"S","Istanbul",15311000
"I","Istanbul",0
"R","Istanbul",0
"S","Karachi",15292000
"I","Karachi",0
"R","Karachi",0
"S","Kinshasa",15056000
"I","Kinshasa",0
"R","Kinshasa",0
"S","Shenzhen",14678000
"I","Shenzhen",0
"R","Shenzhen",0
"S","Bangalore",13999000
"I","Bangalore",0
"R","Bangalore",0
"S","Ho-Chi-Minh-City",13954000
"I","Ho-Chi-Minh-City",0
"R","Ho-Chi-Minh-City",0
"S","Tehran",13819000
"I","Tehran",0
"R","Tehran",0
"S","Los-Angeles",12750807
"I","Los-Angeles",0
"R","Los-Angeles",0
"S","Rio-de-Janeiro",12486000
"I","Rio-de-Janeiro",0
"R","Rio-de-Janeiro",0
"S","Chengdu",11920000
"I","Chengdu",0
"R","Chengdu",0
"S","Baoding",11860000
"I","Baoding",0
"R","Baoding",0
"S","Chennai",11564000
"I","Chennai",0
"R","Chennai",0
"S","Lahore",11148000
"I","Lahore",0
"R","Lahore",0
"S","London",11120000
"I","London",0
"R","London",0
"S","Paris",11027000
"I","Paris",0
"R","Paris",0
"S","Tianjin",10932000
"I","Tianjin",0
"R","Tianjin",0
"S","Linyi",10820000
"I","Linyi",0
"R","Linyi",0
"S","Shijiazhuang",10784600
"I","Shijiazhuang",0
"R","Shijiazhuang",0
"S","Zhengzhou",10136000
"I","Zhengzhou",0
"R","Zhengzhou",0
"S","Nanyang",10013600
"I","Nanyang",0
"R","Nanyang",0
"S","Hyderabad",9840000
"I","Hyderabad",0
"R","Hyderabad",0
"S","Wuhan",9729000
"I","Wuhan",0
"R","Wuhan",0
"S","Handan",9549700
"I","Handan",0
"R","Handan",0
"S","Nagoya",9522000
"I","Nagoya",0
"R","Nagoya",0
"S","Weifang",9373000
"I","Weifang",0
"R","Weifang",0
"S","Lima",8992000
"I","Lima",0
"R","Lima",0
"S","Zhoukou",8953172
"I","Zhoukou",0
"R","Zhoukou",0
"S","Luanda",8883000
"I","Luanda",0
"R","Luanda",0
"S","Ganzhou",8677600
"I","Ganzhou",0
"R","Ganzhou",0
"S","Tongshan",8669000
"I","Tongshan",0
"R","Tongshan",0
"S","Kuala-Lumpur",8639000
"I","Kuala-Lumpur",0
"R","Kuala-Lumpur",0
"S","Chicago",8604203
"I","Chicago",0
"R","Chicago",0
"S","Heze",8287693
"I","Heze",0
"R","Heze",0
"S","Chongqing",8261000
"I","Chongqing",0
"R","Chongqing",0
"S","Hanoi",8246600
"I","Hanoi",0
"R","Hanoi",0
"S","Fuyang",8200264
"I","Fuyang",0
"R","Fuyang",0
"S","Changsha",8154700
"I","Changsha",0
"R","Changsha",0
"S","Dongguan",8142000
"I","Dongguan",0
"R","Dongguan",0
"S","Jining",8081905
"I","Jining",0
"R","Jining",0
"S","Jinan",7967400
"I","Jinan",0
"R","Jinan",0
"S","Pune",7948000
"I","Pune",0
"R","Pune",0
"S","Foshan",7905700
"I","Foshan",0
"R","Foshan",0
"S","Bogota",7743955
"I","Bogota",0
"R","Bogota",0
"S","Ahmedabad",7717000
"I","Ahmedabad",0
"R","Ahmedabad",0
"S","Nanjing",7729000
"I","Nanjing",0
"R","Nanjing",0
"S","Changchun",7674439
"I","Changchun",0
"R","Changchun",0
"S","Tangshan",7577289
"I","Tangshan",0
"R","Tangshan",0
"S","Cangzhou",7544300
"I","Cangzhou",0
"R","Cangzhou",0
"S","Dar-es-Salaam",7461000
"I","Dar-es-Salaam",0
"R","Dar-es-Salaam",0
"S","Hefei",7457027
"I","Hefei",0
"R","Hefei",0
"S","Hong-Kong",7398000
"I","Hong-Kong",0
"R","Hong-Kong",0
"S","Shaoyang",7370500
"I","Shaoyang",0
"R","Shaoyang",0
"S","Zhanjiang",7332000
"I","Zhanjiang",0
"R","Zhanjiang",0
"S","Shangqiu",7325300
"I","Shangqiu",0
"R","Shangqiu",0
"S","Nantong",7283622
"I","Nantong",0
"R","Nantong",0
"S","Yancheng",7260240
"I","Yancheng",0
"R","Yancheng",0
"S","Nanning",7254100
"I","Nanning",0
"R","Nanning",0
"S","Hengyang",7243400
"I","Hengyang",0
"R","Hengyang",0
"S","Zhumadian",7231234
"I","Zhumadian",0
"R","Zhumadian",0
"S","Shenyang",7208000
"I","Shenyang",0
"R","Shenyang",0
"S","Xingtai",7104103
"I","Xingtai",0
"R","Xingtai",0
"S","Xi'an",7090000
"I","Xi'an",0
"R","Xi'an",0
"S","Santiago",7026000
"I","Santiago",0
"R","Santiago",0
"S","Yantai",6968202
"I","Yantai",0
"R","Yantai",0
"S","Riyadh",6889000
"I","Riyadh",0
"R","Riyadh",0
"S","Luoyang",6888500
"I","Luoyang",0
"R","Luoyang",0
"S","Kunming",6850000
"I","Kunming",0
"R","Kunming",0
"S","Shangrao",6810700
"I","Shangrao",0
"R","Shangrao",0
"S","Hangzhou",6713000
"I","Hangzhou",0
"R","Hangzhou",0
"S","Bijie",6686100
"I","Bijie",0
"R","Bijie",0
"S","Quanzhou",6480000
"I","Quanzhou",0
"R","Quanzhou",0
"S","Miami",6445545
"I","Miami",0
"R","Miami",0
"S","Wuxi",6372624
"I","Wuxi",0
"R","Wuxi",0
"S","Huanggang",6333000
"I","Huanggang",0
"R","Huanggang",0
"S","Maoming",6313200
"I","Maoming",0
"R","Maoming",0
"S","Nanchong",6278614
"I","Nanchong",0
"R","Nanchong",0
"S","Zunyi",6270700
"I","Zunyi",0
