"l","l'",Value
"Argyll-and-Bute","Stirling","0.024496"
"City-of-Edinburgh","Stirling","0.0353325"
"Renfrewshire","Stirling","0.0265085"
"West-Dunbartonshire","Stirling","0.0690007"
"West-Lothian","Stirling","0.0495016"
"Angus","Stirling","0.00744356"
"Dundee-City","Stirling","0.0139325"
"East-Dunbartonshire","Stirling","0.0927727"
"Fife","Stirling","0.0295848"
"Perth-and-Kinross","Stirling","0.105609"
"Glasgow-City","Stirling","0.048116"
"North-Lanarkshire","Stirling","0.0568006"
"Clackmannanshire","Aberdeen-City","0.00205797"
"Dumfries-and-Galloway","Aberdeen-City","0.00103593"
"East-Ayrshire","Aberdeen-City","0.00106612"
"East-Lothian","Aberdeen-City","0.00126418"
"East-Renfrewshire","Aberdeen-City","0.00179567"
"Na-h-Eileanan-Siar","Aberdeen-City","0.0108575"
"Falkirk","Aberdeen-City","0.00310257"
"Highland","Aberdeen-City","0.00921044"
"Inverclyde","Aberdeen-City","0.00178788"
"Midlothian","Aberdeen-City","0.00114488"
"Moray","Aberdeen-City","0.0404659"
"North-Ayrshire","Aberdeen-City","0.00237919"
"Orkney-Islands","Aberdeen-City","0.0109743"
"Scottish-Borders","Aberdeen-City","0.00132668"
"Shetland-Islands","Aberdeen-City","0.0250678"
"South-Ayrshire","Aberdeen-City","0.00143443"
"South-Lanarkshire","Aberdeen-City","0.00174216"
"Stirling","Aberdeen-City","0.00310815"
"Aberdeen-City","Aberdeen-City","3.63582"
"Aberdeenshire","Aberdeen-City","0.651849"
"Argyll-and-Bute","Aberdeen-City","0.00223862"
"City-of-Edinburgh","Aberdeen-City","0.00248404"
"Renfrewshire","Aberdeen-City","0.00203879"
"West-Dunbartonshire","Aberdeen-City","0.00156516"
"West-Lothian","Aberdeen-City","0.00194221"
"Angus","Aberdeen-City","0.0646718"
"Dundee-City","Aberdeen-City","0.0111472"
"East-Dunbartonshire","Aberdeen-City","0.0021806"
"Fife","Aberdeen-City","0.00502375"
"Perth-and-Kinross","Aberdeen-City","0.00576569"
"Glasgow-City","Aberdeen-City","0.00144691"
"North-Lanarkshire","Aberdeen-City","0.00188728"
"Clackmannanshire","Aberdeenshire","0.00182857"
"Dumfries-and-Galloway","Aberdeenshire","0.000876026"
"East-Ayrshire","Aberdeenshire","0.000490344"
"East-Lothian","Aberdeenshire","0.000996617"
"East-Renfrewshire","Aberdeenshire","0.000961197"
"Na-h-Eileanan-Siar","Aberdeenshire","0.00514812"
"Falkirk","Aberdeenshire","0.00187287"
"Highland","Aberdeenshire","0.00621643"
"Inverclyde","Aberdeenshire","0.00113408"
"Midlothian","Aberdeenshire","0.000815798"
"Moray","Aberdeenshire","0.0936973"
"North-Ayrshire","Aberdeenshire","0.00153237"
"Orkney-Islands","Aberdeenshire","0.00491034"
"Scottish-Borders","Aberdeenshire","0.000594065"
"Shetland-Islands","Aberdeenshire","0.0197473"
"South-Ayrshire","Aberdeenshire","0.000815932"
"South-Lanarkshire","Aberdeenshire","0.000927162"
"Stirling","Aberdeenshire","0.00175132"
"Aberdeen-City","Aberdeenshire","0.651849"
"Aberdeenshire","Aberdeenshire","3.25834"
"Argyll-and-Bute","Aberdeenshire","0.00214335"
"City-of-Edinburgh","Aberdeenshire","0.0014874"
"Renfrewshire","Aberdeenshire","0.00130637"
"West-Dunbartonshire","Aberdeenshire","0.000905938"
"West-Lothian","Aberdeenshire","0.00129633"
"Angus","Aberdeenshire","0.0851211"
"Dundee-City","Aberdeenshire","0.00848592"
"East-Dunbartonshire","Aberdeenshire","0.000965349"
"Fife","Aberdeenshire","0.00309303"
"Perth-and-Kinross","Aberdeenshire","0.00452325"
"Glasgow-City","Aberdeenshire","0.000785271"
"North-Lanarkshire","Aberdeenshire","0.00112679"
"Clackmannanshire","Argyll-and-Bute","0.0103768"
"Dumfries-and-Galloway","Argyll-and-Bute","0.0022889"
"East-Ayrshire","Argyll-and-Bute","0.00888333"
"East-Lothian","Argyll-and-Bute","0.00164991"
"East-Renfrewshire","Argyll-and-Bute","0.0233368"
"Na-h-Eileanan-Siar","Argyll-and-Bute","0.0254841"
"Falkirk","Argyll-and-Bute","0.00646896"
"Highland","Argyll-and-Bute","0.0190647"
"Inverclyde","Argyll-and-Bute","0.110127"
"Midlothian","Argyll-and-Bute","0.00267158"
"Moray","Argyll-and-Bute","0.0171858"
"North-Ayrshire","Argyll-and-Bute","0.0180399"
"Orkney-Islands","Argyll-and-Bute","0.0145324"
"Scottish-Borders","Argyll-and-Bute","0.00176348"
"Shetland-Islands","Argyll-and-Bute","0.0013119"
"South-Ayrshire","Argyll-and-Bute","0.00550236"
"South-Lanarkshire","Argyll-and-Bute","0.0120698"
"Stirling","Argyll-and-Bute","0.024496"
"Aberdeen-City","Argyll-and-Bute","0.00223862"
"Aberdeenshire","Argyll-and-Bute","0.00214335"
"Argyll-and-Bute","Argyll-and-Bute","10.0307"
"City-of-Edinburgh","Argyll-and-Bute","0.00277802"
"Renfrewshire","Argyll-and-Bute","0.0482424"
"West-Dunbartonshire","Argyll-and-Bute","0.385631"
"West-Lothian","Argyll-and-Bute","0.00365159"
"Angus","Argyll-and-Bute","0.00381149"
"Dundee-City","Argyll-and-Bute","0.00176169"
"East-Dunbartonshire","Argyll-and-Bute","0.035185"
"Fife","Argyll-and-Bute","0.00523174"
"Perth-and-Kinross","Argyll-and-Bute","0.00379701"
"Glasgow-City","Argyll-and-Bute","0.0346141"
"North-Lanarkshire","Argyll-and-Bute","0.00967468"
"Clackmannanshire","City-of-Edinburgh","0.0277171"
"Dumfries-and-Galloway","City-of-Edinburgh","0.00256304"
"East-Ayrshire","City-of-Edinburgh","0.0022706"
"East-Lothian","City-of-Edinburgh","0.360995"
"East-Renfrewshire","City-of-Edinburgh","0.00880779"
"Na-h-Eileanan-Siar","City-of-Edinburgh","0.00127567"
"Falkirk","City-of-Edinburgh","0.0738483"
"Highland","City-of-Edinburgh","0.00184447"
"Inverclyde","City-of-Edinburgh","0.00292437"
"Midlothian","City-of-Edinburgh","0.432486"
"Moray","City-of-Edinburgh","0.00118281"
"North-Ayrshire","City-of-Edinburgh","0.00222375"
"Orkney-Islands","City-of-Edinburgh","0.00178784"
"Scottish-Borders","City-of-Edinburgh","0.0710431"
"Shetland-Islands","City-of-Edinburgh","0.00144935"
"South-Ayrshire","City-of-Edinburgh","0.00249856"
"South-Lanarkshire","City-of-Edinburgh","0.0149137"
"Stirling","City-of-Edinburgh","0.0353325"
"Aberdeen-City","City-of-Edinburgh","0.00248404"
"Aberdeenshire","City-of-Edinburgh","0.0014874"
"Argyll-and-Bute","City-of-Edinburgh","0.00277802"
"City-of-Edinburgh","City-of-Edinburgh","1.69217"
"Renfrewshire","City-of-Edinburgh","0.00533706"
"West-Dunbartonshire","City-of-Edinburgh","0.00380389"
"West-Lothian","City-of-Edinburgh","0.214981"
"Angus","City-of-Edinburgh","0.00305898"
"Dundee-City","City-of-Edinburgh","0.00594517"
"East-Dunbartonshire","City-of-Edinburgh","0.0122424"
"Fife","City-of-Edinburgh","0.0761481"
"Perth-and-Kinross","City-of-Edinburgh","0.0214601"
"Glasgow-City","City-of-Edinburgh","0.0110294"
"North-Lanarkshire","City-of-Edinburgh","0.0162305"
"Clackmannanshire","Renfrewshire","0.0105556"
"Dumfries-and-Galloway","Renfrewshire","0.00222247"
"East-Ayrshire","Renfrewshire","0.0651338"
"East-Lothian","Renfrewshire","0.00305529"
"East-Renfrewshire","Renfrewshire","0.296954"
"Na-h-Eileanan-Siar","Renfrewshire","0.00143192"
"Falkirk","Renfrewshire","0.0170922"
"Highland","Renfrewshire","0.00127154"
"Inverclyde","Renfrewshire","0.29157"
"Midlothian","Renfrewshire","0.0031017"
"Moray","Renfrewshire","0.00119513"
"North-Ayrshire","Renfrewshire","0.147353"
"Orkney-Islands","Renfrewshire","0.000624201"
"Scottish-Borders","Renfrewshire","0.00143419"
"Shetland-Islands","Renfrewshire","0.00283423"
"South-Ayrshire","Renfrewshire","0.0499342"
"South-Lanarkshire","Renfrewshire","0.0713483"
"Stirling","Renfrewshire","0.0265085"
"Aberdeen-City","Renfrewshire","0.00203879"
"Aberdeenshire","Renfrewshire","0.00130637"
"Argyll-and-Bute","Renfrewshire","0.0482424"
"City-of-Edinburgh","Renfrewshire","0.00533706"
"Renfrewshire","Renfrewshire","4.03014"
"West-Dunbartonshire","Renfrewshire","0.176593"
"West-Lothian","Renfrewshire","0.0115629"
"Angus","Renfrewshire","0.00146603"
"Dundee-City","Renfrewshire","0.00113183"
"East-Dunbartonshire","Renfrewshire","0.127918"
"Fife","Renfrewshire","0.0032596"
"Perth-and-Kinross","Renfrewshire","0.00465805"
"Glasgow-City","Renfrewshire","0.205675"
"North-Lanarkshire","Renfrewshire","0.0540771"
"Clackmannanshire","West-Dunbartonshire","0.0125605"
"Dumfries-and-Galloway","West-Dunbartonshire","0.00154599"
"East-Ayrshire","West-Dunbartonshire","0.0209555"
"East-Lothian","West-Dunbartonshire","0.00196542"
"East-Renfrewshire","West-Dunbartonshire","0.0871364"
"Na-h-Eileanan-Siar","West-Dunbartonshire","0.000789171"
"Falkirk","West-Dunbartonshire","0.0143852"
"Highland","West-Dunbartonshire","0.00155867"
"Inverclyde","West-Dunbartonshire","0.10029"
"Midlothian","West-Dunbartonshire","0.00273967"
"Moray","West-Dunbartonshire","0.00143389"
"North-Ayrshire","West-Dunbartonshire","0.0356507"
"Orkney-Islands","West-Dunbartonshire","0.000140647"
"Scottish-Borders","West-Dunbartonshire","0.000674194"
"Shetland-Islands","West-Dunbartonshire","0.0014434"
"South-Ayrshire","West-Dunbartonshire","0.0170002"
"South-Lanarkshire","West-Dunbartonshire","0.0468555"
"Stirling","West-Dunbartonshire","0.0690007"
"Aberdeen-City","West-Dunbartonshire","0.00156516"
"Aberdeenshire","West-Dunbartonshire","0.000905938"
"Argyll-and-Bute","West-Dunbartonshire","0.385631"
"City-of-Edinburgh","West-Dunbartonshire","0.00380389"
"Renfrewshire","West-Dunbartonshire","0.176593"
"West-Dunbartonshire","West-Dunbartonshire","8.00705"
"West-Lothian","West-Dunbartonshire","0.00942093"
"Angus","West-Dunbartonshire","0.00159209"
"Dundee-City","West-Dunbartonshire","0.00178815"
"East-Dunbartonshire","West-Dunbartonshire","0.230414"
"Fife","West-Dunbartonshire","0.00322402"
"Perth-and-Kinross","West-Dunbartonshire","0.00343588"
"Glasgow-City","West-Dunbartonshire","0.191675"
"North-Lanarkshire","West-Dunbartonshire","0.0427965"
"Clackmannanshire","West-Lothian","0.0500705"
"Dumfries-and-Galloway","West-Lothian","0.00160277"
"East-Ayrshire","West-Lothian","0.00624977"
"East-Lothian","West-Lothian","0.0764494"
"East-Renfrewshire","West-Lothian","0.0147253"
"Na-h-Eileanan-Siar","West-Lothian","0.000725364"
"Falkirk","West-Lothian","0.187307"
"Highland","West-Lothian","0.00123655"
"Inverclyde","West-Lothian","0.00517152"
"Midlothian","West-Lothian","0.122703"
"Moray","West-Lothian","0.00115075"
"North-Ayrshire","West-Lothian","0.00399377"
"Orkney-Islands","West-Lothian","0.000133458"
"Scottish-Borders","West-Lothian","0.0223185"
"Shetland-Islands","West-Lothian","0.00108587"
"South-Ayrshire","West-Lothian","0.00387074"
"South-Lanarkshire","West-Lothian","0.0466244"
"Stirling","West-Lothian","0.0495016"
"Aberdeen-City","West-Lothian","0.00194221"
"Aberdeenshire","West-Lothian","0.00129633"
"Argyll-and-Bute","West-Lothian","0.00365159"
"City-of-Edinburgh","West-Lothian","0.214981"
"Renfrewshire","West-Lothian","0.0115629"
"West-Dunbartonshire","West-Lothian","0.00942093"
"West-Lothian","West-Lothian","4.29488"
"Angus","West-Lothian","0.00260617"
"Dundee-City","West-Lothian","0.00450732"
"East-Dunbartonshire","West-Lothian","0.0207576"
"Fife","West-Lothian","0.0520488"
"Perth-and-Kinross","West-Lothian","0.0152548"
"Glasgow-City","West-Lothian","0.0205971"
"North-Lanarkshire","West-Lothian","0.0818232"
"Clackmannanshire","Angus","0.00616455"
"Dumfries-and-Galloway","Angus","0.000545987"
"East-Ayrshire","Angus","0.000970462"
"East-Lothian","Angus","0.0017212"
"East-Renfrewshire","Angus","0.0011447"
"Na-h-Eileanan-Siar","Angus","0.00059652"
"Falkirk","Angus","0.00266336"
"Highland","Angus","0.00212263"
"Inverclyde","Angus","0.000784268"
"Midlothian","Angus","0.00193958"
"Moray","Angus","0.0048807"
"North-Ayrshire","Angus","0.00110003"
"Orkney-Islands","Angus","0.00205998"
"Scottish-Borders","Angus","0.000599127"
"Shetland-Islands","Angus","0.00338916"
"South-Ayrshire","Angus","0.000598796"
"South-Lanarkshire","Angus","0.000895841"
"Stirling","Angus","0.00744356"
"Aberdeen-City","Angus","0.0646718"
"Aberdeenshire","Angus","0.0851211"
"Argyll-and-Bute","Angus","0.00381149"
"City-of-Edinburgh","Angus","0.00305898"
"Renfrewshire","Angus","0.00146603"
"West-Dunbartonshire","Angus","0.00159209"
"West-Lothian","Angus","0.00260617"
"Angus","Angus","7.07973"
"Dundee-City","Angus","0.710386"
"East-Dunbartonshire","Angus","0.00115785"
"Fife","Angus","0.0284447"
"Perth-and-Kinross","Angus","0.127625"
"Glasgow-City","Angus","0.00107868"
"North-Lanarkshire","Angus","0.00126743"
"Clackmannanshire","Dundee-City","0.00962456"
"Dumfries-and-Galloway","Dundee-City","0.000221365"
"East-Ayrshire","Dundee-City","0.000387409"
"East-Lothian","Dundee-City","0.00161391"
"East-Renfrewshire","Dundee-City","0.00111529"
"Na-h-Eileanan-Siar","Dundee-City","0.000945504"
"Falkirk","Dundee-City","0.00504139"
"Highland","Dundee-City","0.00119333"
"Inverclyde","Dundee-City","0.000538108"
"Midlothian","Dundee-City","0.00264937"
"Moray","Dundee-City","0.00279855"
"North-Ayrshire","Dundee-City","0.000573499"
"Orkney-Islands","Dundee-City","0.000763863"
"Scottish-Borders","Dundee-City","0.000694638"
"Shetland-Islands","Dundee-City","0.0010676"
"South-Ayrshire","Dundee-City","0.0005787"
"South-Lanarkshire","Dundee-City","0.00100039"
"Stirling","Dundee-City","0.0139325"
"Aberdeen-City","Dundee-City","0.0111472"
"Aberdeenshire","Dundee-City","0.00848592"
"Argyll-and-Bute","Dundee-City","0.00176169"
"City-of-Edinburgh","Dundee-City","0.00594517"
"Renfrewshire","Dundee-City","0.00113183"
"West-Dunbartonshire","Dundee-City","0.00178815"
"West-Lothian","Dundee-City","0.00450732"
"Angus","Dundee-City","0.710386"
"Dundee-City","Dundee-City","5.6081"
"East-Dunbartonshire","Dundee-City","0.00225045"
"Fife","Dundee-City","0.103081"
"Perth-and-Kinross","Dundee-City","0.268503"
"Glasgow-City","Dundee-City","0.00156026"
"North-Lanarkshire","Dundee-City","0.00168938"
"Clackmannanshire","East-Dunbartonshire","0.0278285"
"Dumfries-and-Galloway","East-Dunbartonshire","0.00231008"
"East-Ayrshire","East-Dunbartonshire","0.0291271"
"East-Lothian","East-Dunbartonshire","0.00533978"
"East-Renfrewshire","East-Dunbartonshire","0.118618"
"Na-h-Eileanan-Siar","East-Dunbartonshire","0.00172129"
"Falkirk","East-Dunbartonshire","0.0545866"
"Highland","East-Dunbartonshire","0.00108732"
"Inverclyde","East-Dunbartonshire","0.0553736"
"Midlothian","East-Dunbartonshire","0.00655813"
"Moray","East-Dunbartonshire","0.000973143"
"North-Ayrshire","East-Dunbartonshire","0.0324599"
"Orkney-Islands","East-Dunbartonshire","0.000200171"
"Scottish-Borders","East-Dunbartonshire","0.00171562"
"Shetland-Islands","East-Dunbartonshire","0.000861539"
"South-Ayrshire","East-Dunbartonshire","0.021612"
"South-Lanarkshire","East-Dunbartonshire","0.0852673"
"Stirling","East-Dunbartonshire","0.0927727"
"Aberdeen-City","East-Dunbartonshire","0.0021806"
"Aberdeenshire","East-Dunbartonshire","0.000965349"
"Argyll-and-Bute","East-Dunbartonshire","0.035185"
"City-of-Edinburgh","East-Dunbartonshire","0.0122424"
"Renfrewshire","East-Dunbartonshire","0.127918"
"West-Dunbartonshire","East-Dunbartonshire","0.230414"
"West-Lothian","East-Dunbartonshire","0.0207576"
"Angus","East-Dunbartonshire","0.00115785"
"Dundee-City","East-Dunbartonshire","0.00225045"
"East-Dunbartonshire","East-Dunbartonshire","6.15898"
"Fife","East-Dunbartonshire","0.00572288"
"Perth-and-Kinross","East-Dunbartonshire","0.00641319"
"Glasgow-City","East-Dunbartonshire","0.285084"
"North-Lanarkshire","East-Dunbartonshire","0.150205"
"Clackmannanshire","Fife","0.0778774"
"Dumfries-and-Galloway","Fife","0.00107237"
"East-Ayrshire","Fife","0.00152246"
"East-Lothian","Fife","0.0255695"
"East-Renfrewshire","Fife","0.00345901"
"Na-h-Eileanan-Siar","Fife","0.00159482"
"Falkirk","Fife","0.0458125"
"Highland","Fife","0.00196545"
"Inverclyde","Fife","0.00257623"
"Midlothian","Fife","0.03512"
"Moray","Fife","0.0036135"
"North-Ayrshire","Fife","0.00138093"
"Orkney-Islands","Fife","0.00075082"
"Scottish-Borders","Fife","0.0067095"
"Shetland-Islands","Fife","0.00300339"
"South-Ayrshire","Fife","0.00131541"
"South-Lanarkshire","Fife","0.0054966"
"Stirling","Fife","0.0295848"
"Aberdeen-City","Fife","0.00502375"
"Aberdeenshire","Fife","0.00309303"
"Argyll-and-Bute","Fife","0.00523174"
"City-of-Edinburgh","Fife","0.0761481"
"Renfrewshire","Fife","0.0032596"
"West-Dunbartonshire","Fife","0.00322402"
"West-Lothian","Fife","0.0520488"
"Angus","Fife","0.0284447"
"Dundee-City","Fife","0.103081"
"East-Dunbartonshire","Fife","0.00572288"
"Fife","Fife","2.43071"
"Perth-and-Kinross","Fife","0.0992169"
"Glasgow-City","Fife","0.00463349"
"North-Lanarkshire","Fife","0.00809405"
"Clackmannanshire","Perth-and-Kinross","0.0837611"
"Dumfries-and-Galloway","Perth-and-Kinross","0.00109422"
"East-Ayrshire","Perth-and-Kinross","0.00139377"
"East-Lothian","Perth-and-Kinross","0.00805775"
"East-Renfrewshire","Perth-and-Kinross","0.0039486"
"Na-h-Eileanan-Siar","Perth-and-Kinross","0.00107518"
"Falkirk","Perth-and-Kinross","0.0267251"
"Highland","Perth-and-Kinross","0.00455979"
"Inverclyde","Perth-and-Kinross","0.00142631"
"Midlothian","Perth-and-Kinross","0.00977738"
"Moray","Perth-and-Kinross","0.00309243"
"North-Ayrshire","Perth-and-Kinross","0.00156817"
"Orkney-Islands","Perth-and-Kinross","0.00126812"
"Scottish-Borders","Perth-and-Kinross","0.0030538"
"Shetland-Islands","Perth-and-Kinross","0.00203512"
"South-Ayrshire","Perth-and-Kinross","0.00154006"
"South-Lanarkshire","Perth-and-Kinross","0.00452242"
"Stirling","Perth-and-Kinross","0.105609"
"Aberdeen-City","Perth-and-Kinross","0.00576569"
"Aberdeenshire","Perth-and-Kinross","0.00452325"
"Argyll-and-Bute","Perth-and-Kinross","0.00379701"
"City-of-Edinburgh","Perth-and-Kinross","0.0214601"
"Renfrewshire","Perth-and-Kinross","0.00465805"
"West-Dunbartonshire","Perth-and-Kinross","0.00343588"
"West-Lothian","Perth-and-Kinross","0.0152548"
"Angus","Perth-and-Kinross","0.127625"
"Dundee-City","Perth-and-Kinross","0.268503"
"East-Dunbartonshire","Perth-and-Kinross","0.00641319"
"Fife","Perth-and-Kinross","0.0992169"
"Perth-and-Kinross","Perth-and-Kinross","5.86917"
"Glasgow-City","Perth-and-Kinross","0.00569278"
"North-Lanarkshire","Perth-and-Kinross","0.00662541"
"Clackmannanshire","Glasgow-City","0.0181395"
"Dumfries-and-Galloway","Glasgow-City","0.00323301"
"East-Ayrshire","Glasgow-City","0.0575203"
"East-Lothian","Glasgow-City","0.00483268"
"East-Renfrewshire","Glasgow-City","0.281615"
"Na-h-Eileanan-Siar","Glasgow-City","0.00275125"
"Falkirk","Glasgow-City","0.0321813"
"Highland","Glasgow-City","0.00127077"
"Inverclyde","Glasgow-City","0.0822316"
"Midlothian","Glasgow-City","0.00510441"
"Moray","Glasgow-City","0.000825407"
"North-Ayrshire","Glasgow-City","0.0553396"
"Orkney-Islands","Glasgow-City","0.000633124"
"Scottish-Borders","Glasgow-City","0.00185904"
"Shetland-Islands","Glasgow-City","0.0016841"
"South-Ayrshire","Glasgow-City","0.0386233"
"South-Lanarkshire","Glasgow-City","0.151027"
"Stirling","Glasgow-City","0.048116"
"Aberdeen-City","Glasgow-City","0.00144691"
"Aberdeenshire","Glasgow-City","0.000785271"
"Argyll-and-Bute","Glasgow-City","0.0346141"
"City-of-Edinburgh","Glasgow-City","0.0110294"
"Renfrewshire","Glasgow-City","0.205675"
"West-Dunbartonshire","Glasgow-City","0.191675"
"West-Lothian","Glasgow-City","0.0205971"
"Angus","Glasgow-City","0.00107868"
"Dundee-City","Glasgow-City","0.00156026"
"East-Dunbartonshire","Glasgow-City","0.285084"
"Fife","Glasgow-City","0.00463349"
"Perth-and-Kinross","Glasgow-City","0.00569278"
"Glasgow-City","Glasgow-City","1.26203"
"North-Lanarkshire","Glasgow-City","0.122702"
"Clackmannanshire","North-Lanarkshire","0.0363968"
"Dumfries-and-Galloway","North-Lanarkshire","0.00308068"
"East-Ayrshire","North-Lanarkshire","0.0222983"
"East-Lothian","North-Lanarkshire","0.00745203"
"East-Renfrewshire","North-Lanarkshire","0.0690591"
"Na-h-Eileanan-Siar","North-Lanarkshire","0.000386059"
"Falkirk","North-Lanarkshire","0.0909582"
"Highland","North-Lanarkshire","0.000961545"
"Inverclyde","North-Lanarkshire","0.0199786"
"Midlothian","North-Lanarkshire","0.0109577"
"Moray","North-Lanarkshire","0.00072079"
"North-Ayrshire","North-Lanarkshire","0.0171476"
"Orkney-Islands","North-Lanarkshire","0.00102879"
"Scottish-Borders","North-Lanarkshire","0.0030178"
"Shetland-Islands","North-Lanarkshire","0.00185421"
"South-Ayrshire","North-Lanarkshire","0.0147738"
"South-Lanarkshire","North-Lanarkshire","0.234166"
"Stirling","North-Lanarkshire","0.0568006"
"Aberdeen-City","North-Lanarkshire","0.00188728"
"Aberdeenshire","North-Lanarkshire","0.00112679"
"Argyll-and-Bute","North-Lanarkshire","0.00967468"
"City-of-Edinburgh","North-Lanarkshire","0.0162305"
"Renfrewshire","North-Lanarkshire","0.0540771"
"West-Dunbartonshire","North-Lanarkshire","0.0427965"
"West-Lothian","North-Lanarkshire","0.0818232"
"Angus","North-Lanarkshire","0.00126743"
"Dundee-City","North-Lanarkshire","0.00168938"
"East-Dunbartonshire","North-Lanarkshire","0.150205"
"Fife","North-Lanarkshire","0.00809405"
"Perth-and-Kinross","North-Lanarkshire","0.00662541"
"Glasgow-City","North-Lanarkshire","0.122702"
"North-Lanarkshire","North-Lanarkshire","2.23191"
