"l","l'",Value
"Midlothian","East-Lothian","0.410243"
"Moray","East-Lothian","0.00155966"
"North-Ayrshire","East-Lothian","0.00187343"
"Orkney-Islands","East-Lothian","0.00103393"
"Scottish-Borders","East-Lothian","0.10861"
"Shetland-Islands","East-Lothian","0.000601025"
"South-Ayrshire","East-Lothian","0.00134584"
"South-Lanarkshire","East-Lothian","0.00839856"
"Stirling","East-Lothian","0.0147474"
"Aberdeen-City","East-Lothian","0.00126418"
"Aberdeenshire","East-Lothian","0.000996617"
"Argyll-and-Bute","East-Lothian","0.00164991"
"City-of-Edinburgh","East-Lothian","0.360995"
"Renfrewshire","East-Lothian","0.00305529"
"West-Dunbartonshire","East-Lothian","0.00196542"
"West-Lothian","East-Lothian","0.0764494"
"Angus","East-Lothian","0.0017212"
"Dundee-City","East-Lothian","0.00161391"
"East-Dunbartonshire","East-Lothian","0.00533978"
"Fife","East-Lothian","0.0255695"
"Perth-and-Kinross","East-Lothian","0.00805775"
"Glasgow-City","East-Lothian","0.00483268"
"North-Lanarkshire","East-Lothian","0.00745203"
"Clackmannanshire","East-Renfrewshire","0.0132814"
"Dumfries-and-Galloway","East-Renfrewshire","0.00245629"
"East-Ayrshire","East-Renfrewshire","0.100171"
"East-Lothian","East-Renfrewshire","0.00340813"
"East-Renfrewshire","East-Renfrewshire","6.98657"
"Na-h-Eileanan-Siar","East-Renfrewshire","0.00149338"
"Falkirk","East-Renfrewshire","0.0199984"
"Highland","East-Renfrewshire","0.00103697"
"Inverclyde","East-Renfrewshire","0.0845442"
"Midlothian","East-Renfrewshire","0.0041039"
"Moray","East-Renfrewshire","0.000491205"
"North-Ayrshire","East-Renfrewshire","0.0709469"
"Orkney-Islands","East-Renfrewshire","0.00216519"
"Scottish-Borders","East-Renfrewshire","0.00181489"
"Shetland-Islands","East-Renfrewshire","0.000539096"
"South-Ayrshire","East-Renfrewshire","0.0549456"
"South-Lanarkshire","East-Renfrewshire","0.153357"
"Stirling","East-Renfrewshire","0.0262333"
"Aberdeen-City","East-Renfrewshire","0.00179567"
"Aberdeenshire","East-Renfrewshire","0.000961197"
"Argyll-and-Bute","East-Renfrewshire","0.0233368"
"City-of-Edinburgh","East-Renfrewshire","0.00880779"
"Renfrewshire","East-Renfrewshire","0.296954"
"West-Dunbartonshire","East-Renfrewshire","0.0871364"
"West-Lothian","East-Renfrewshire","0.0147253"
"Angus","East-Renfrewshire","0.0011447"
"Dundee-City","East-Renfrewshire","0.00111529"
"East-Dunbartonshire","East-Renfrewshire","0.118618"
"Fife","East-Renfrewshire","0.00345901"
"Perth-and-Kinross","East-Renfrewshire","0.0039486"
"Glasgow-City","East-Renfrewshire","0.281615"
"North-Lanarkshire","East-Renfrewshire","0.0690591"
"Clackmannanshire","Na-h-Eileanan-Siar","0.00124313"
"Dumfries-and-Galloway","Na-h-Eileanan-Siar","0.00191503"
"East-Ayrshire","Na-h-Eileanan-Siar","0.000475823"
"East-Lothian","Na-h-Eileanan-Siar","0.000274647"
"East-Renfrewshire","Na-h-Eileanan-Siar","0.00149338"
"Na-h-Eileanan-Siar","Na-h-Eileanan-Siar","35.4331"
"Falkirk","Na-h-Eileanan-Siar","0.000511449"
"Highland","Na-h-Eileanan-Siar","0.0191886"
"Inverclyde","Na-h-Eileanan-Siar","0.0111274"
"Midlothian","Na-h-Eileanan-Siar","0.000634416"
"Moray","Na-h-Eileanan-Siar","0.00860956"
"North-Ayrshire","Na-h-Eileanan-Siar","0.00130537"
"Orkney-Islands","Na-h-Eileanan-Siar","0.0152312"
"Scottish-Borders","Na-h-Eileanan-Siar","0.00101726"
"Shetland-Islands","Na-h-Eileanan-Siar","0.0116847"
"South-Ayrshire","Na-h-Eileanan-Siar","0.00362611"
"South-Lanarkshire","Na-h-Eileanan-Siar","0.00186811"
"Stirling","Na-h-Eileanan-Siar","0.00141356"
"Aberdeen-City","Na-h-Eileanan-Siar","0.0108575"
"Aberdeenshire","Na-h-Eileanan-Siar","0.00514812"
"Argyll-and-Bute","Na-h-Eileanan-Siar","0.0254841"
"City-of-Edinburgh","Na-h-Eileanan-Siar","0.00127567"
"Renfrewshire","Na-h-Eileanan-Siar","0.00143192"
"West-Dunbartonshire","Na-h-Eileanan-Siar","0.000789171"
"West-Lothian","Na-h-Eileanan-Siar","0.000725364"
"Angus","Na-h-Eileanan-Siar","0.00059652"
"Dundee-City","Na-h-Eileanan-Siar","0.000945504"
"East-Dunbartonshire","Na-h-Eileanan-Siar","0.00172129"
"Fife","Na-h-Eileanan-Siar","0.00159482"
"Perth-and-Kinross","Na-h-Eileanan-Siar","0.00107518"
"Glasgow-City","Na-h-Eileanan-Siar","0.00275125"
"North-Lanarkshire","Na-h-Eileanan-Siar","0.000386059"
"Clackmannanshire","Falkirk","0.348021"
"Dumfries-and-Galloway","Falkirk","0.00119701"
"East-Ayrshire","Falkirk","0.00617934"
"East-Lothian","Falkirk","0.0280139"
"East-Renfrewshire","Falkirk","0.0199984"
"Na-h-Eileanan-Siar","Falkirk","0.000511449"
"Falkirk","Falkirk","4.89993"
"Highland","Falkirk","0.0013971"
"Inverclyde","Falkirk","0.00785601"
"Midlothian","Falkirk","0.0399248"
"Moray","Falkirk","0.00130524"
"North-Ayrshire","Falkirk","0.00552376"
"Orkney-Islands","Falkirk","0.00156951"
"Scottish-Borders","Falkirk","0.00834688"
"Shetland-Islands","Falkirk","0.00308864"
"South-Ayrshire","Falkirk","0.00412398"
"South-Lanarkshire","Falkirk","0.0278328"
"Stirling","Falkirk","0.438095"
"Aberdeen-City","Falkirk","0.00310257"
"Aberdeenshire","Falkirk","0.00187287"
"Argyll-and-Bute","Falkirk","0.00646896"
"City-of-Edinburgh","Falkirk","0.0738483"
"Renfrewshire","Falkirk","0.0170922"
"West-Dunbartonshire","Falkirk","0.0143852"
"West-Lothian","Falkirk","0.187307"
"Angus","Falkirk","0.00266336"
"Dundee-City","Falkirk","0.00504139"
"East-Dunbartonshire","Falkirk","0.0545866"
"Fife","Falkirk","0.0458125"
"Perth-and-Kinross","Falkirk","0.0267251"
"Glasgow-City","Falkirk","0.0321813"
"North-Lanarkshire","Falkirk","0.0909582"
"Clackmannanshire","Highland","0.00179988"
"Dumfries-and-Galloway","Highland","0.00096382"
"East-Ayrshire","Highland","0.000594994"
"East-Lothian","Highland","0.00136571"
"East-Renfrewshire","Highland","0.00103697"
"Na-h-Eileanan-Siar","Highland","0.0191886"
"Falkirk","Highland","0.0013971"
"Highland","Highland","4.1884"
"Inverclyde","Highland","0.00148589"
"Midlothian","Highland","0.000934946"
"Moray","Highland","0.106753"
"North-Ayrshire","Highland","0.00116144"
"Orkney-Islands","Highland","0.0193053"
"Scottish-Borders","Highland","0.00094986"
"Shetland-Islands","Highland","0.00707596"
"South-Ayrshire","Highland","0.000594805"
"South-Lanarkshire","Highland","0.000904469"
"Stirling","Highland","0.00269501"
"Aberdeen-City","Highland","0.00921044"
"Aberdeenshire","Highland","0.00621643"
"Argyll-and-Bute","Highland","0.0190647"
"City-of-Edinburgh","Highland","0.00184447"
"Renfrewshire","Highland","0.00127154"
"West-Dunbartonshire","Highland","0.00155867"
"West-Lothian","Highland","0.00123655"
"Angus","Highland","0.00212263"
"Dundee-City","Highland","0.00119333"
"East-Dunbartonshire","Highland","0.00108732"
"Fife","Highland","0.00196545"
"Perth-and-Kinross","Highland","0.00455979"
"Glasgow-City","Highland","0.00127077"
"North-Lanarkshire","Highland","0.000961545"
"Clackmannanshire","Inverclyde","0.00415693"
"Dumfries-and-Galloway","Inverclyde","0.00199472"
"East-Ayrshire","Inverclyde","0.0216984"
"East-Lothian","Inverclyde","0.00194749"
"East-Renfrewshire","Inverclyde","0.0845442"
"Na-h-Eileanan-Siar","Inverclyde","0.0111274"
"Falkirk","Inverclyde","0.00785601"
"Highland","Inverclyde","0.00148589"
"Inverclyde","Inverclyde","10.058"
"Midlothian","Inverclyde","0.00176575"
"Moray","Inverclyde","0.0012918"
"North-Ayrshire","Inverclyde","0.160575"
"Orkney-Islands","Inverclyde","0.000624197"
"Scottish-Borders","Inverclyde","0.00100363"
"Shetland-Islands","Inverclyde","0.00391667"
"South-Ayrshire","Inverclyde","0.0223221"
"South-Lanarkshire","Inverclyde","0.0272062"
"Stirling","Inverclyde","0.0100511"
"Aberdeen-City","Inverclyde","0.00178788"
"Aberdeenshire","Inverclyde","0.00113408"
"Argyll-and-Bute","Inverclyde","0.110127"
