"t","DS","Sex","Population"
10,"S","M",5053
20,"S","M",4963
30,"S","M",4914
40,"S","M",4759
50,"S","M",4035
60,"S","M",2866
70,"S","M",1925
80,"S","M",1575
90,"S","M",1465
100,"S","M",1303
10,"S","F",4982
20,"S","F",5033
30,"S","F",4904
40,"S","F",4676
50,"S","F",3747
60,"S","F",2142
70,"S","F",1337
80,"S","F",966
90,"S","F",784
100,"S","F",692
10,"I","M",2
20,"I","M",21
30,"I","M",55
40,"I","M",157
50,"I","M",542
60,"I","M",959
70,"I","M",819
80,"I","M",522
90,"I","M",256
100,"I","M",178
10,"I","F",1
20,"I","F",10
30,"I","F",28
40,"I","F",158
50,"I","F",521
60,"I","F",660
70,"I","F",389
80,"I","F",199
90,"I","F",75
100,"I","F",20
10,"R","M",5
20,"R","M",13
30,"R","M",37
40,"R","M",119
50,"R","M",415
60,"R","M",1192
70,"R","M",2193
80,"R","M",2916
90,"R","M",3337
100,"R","M",3459
10,"R","F",1
20,"R","F",6
30,"R","F",39
40,"R","F",185
50,"R","F",860
60,"R","F",2122
70,"R","F",3188
80,"R","F",3804
90,"R","F",4116
100,"R","F",4349
