"ID","t"
"Ind-2",8.09229
"Ind-3",6.02744
"Ind-4",6.28683
"Ind-5",43.1129
"Ind-6",45.012
"Ind-7",12.1984
"Ind-8",4.04476
"Ind-10",23.0953
"Ind-11",14.0299
"Ind-12",6.01485
"Ind-13",23.0292
"Ind-14",30.0325
"Ind-15",39.3456
"Ind-17",8.01331
"Ind-18",18.0211
"Ind-19",12.1539
"Ind-20",13.2378
"Ind-21",12.1658
"Ind-23",41.0094
"Ind-24",10.0401
"Ind-25",26.151
"Ind-27",31.0636
"Ind-28",14.1103
"Ind-29",1.27903
"Ind-30",9.08602
"Ind-31",21.059
"Ind-34",14.0755
"Ind-35",4.03941
"Ind-36",15.0621
"Ind-37",24.1268
"Ind-38",21.0318
"Ind-42",23.3056
"Ind-43",17.1019
"Ind-44",7.03904
"Ind-45",12.0182
"Ind-46",19.0784
"Ind-47",11.2434
"Ind-48",37.0108
"Ind-49",38.0177
"Ind-50",10.0221
"Ind-51",28.033
"Ind-52",29.0129
"Ind-53",8.18889
"Ind-54",16.0535
"Ind-55",45.0281
"Ind-56",8.38361
"Ind-58",9.04358
"Ind-60",26.0582
"Ind-61",27.1803
"Ind-62",34.1688
"Ind-63",10.0416
"Ind-64",5.23601
"Ind-65",12.0072
"Ind-66",4.00044
"Ind-68",1.10139
"Ind-69",27.1718
"Ind-70",43.0222
"Ind-71",12.0217
"Ind-72",4.29396
"Ind-73",53.0369
"Ind-74",1.05795
"Ind-75",14.4295
"Ind-76",29.1193
"Ind-77",11.1795
"Ind-78",41.004
"Ind-79",1.10543
"Ind-80",8.23398
"Ind-81",26.0566
"Ind-82",27.3422
"Ind-83",5.00046
"Ind-85",14.0645
"Ind-86",20.3512
"Ind-87",9.03058
"Ind-89",29.1413
"Ind-90",10.2389
"Ind-91",6.26919
"Ind-92",19.0537
"Ind-93",47.0104
"Ind-94",13.081
"Ind-95",5.03855
"Ind-96",1.03305
"Ind-97",7.03438
"Ind-98",15.0991
"Ind-99",31.0334
"Ind-100",39.0906
"Ind-101",16.1067
"Ind-102",6.04815
"Ind-103",24.1675
"Ind-104",20.0389
"Ind-105",29.0312
"Ind-107",11.1328
"Ind-108",13.0299
"Ind-109",18.2164
"Ind-110",43.2551
"Ind-111",8.06509
"Ind-112",34.0905
"Ind-114",7.14111
"Ind-117",5.00224
"Ind-119",29.02
"Ind-120",16.1372
"Ind-122",4.07741
"Ind-123",43.052
"Ind-124",11.091
"Ind-125",5.17191
"Ind-126",45.1828
"Ind-127",4.2321
"Ind-128",5.27618
"Ind-129",38.4024
"Ind-130",1.02072
"Ind-131",4.18813
"Ind-132",11.0345
"Ind-133",6.13522
"Ind-134",49.0291
"Ind-135",5.26602
"Ind-136",10.1744
"Ind-137",10.0101
"Ind-138",7.09952
"Ind-140",16.0387
"Ind-141",9.19166
"Ind-142",43.2073
"Ind-143",19.0965
"Ind-144",11.223
"Ind-145",49.0808
"Ind-147",21.0869
"Ind-149",18.3824
"Ind-150",15.0714
"Ind-151",4.08517
"Ind-152",9.13618
"Ind-153",15.0686
"Ind-154",10.04
"Ind-155",37.0072
"Ind-156",5.01043
"Ind-157",16.2919
"Ind-158",20.0221
"Ind-161",33.073
"Ind-162",21.1734
"Ind-163",28.075
"Ind-165",39.0438
"Ind-166",30.3425
"Ind-167",24.0405
"Ind-168",1.28315
"Ind-169",8.00357
"Ind-170",30.2005
"Ind-171",18.2387
"Ind-172",47.0075
"Ind-173",14.0158
"Ind-174",7.16026
"Ind-175",1.00132
"Ind-176",6.154
"Ind-177",7.01033
"Ind-178",20.1756
"Ind-179",41.1229
"Ind-180",9.05734
"Ind-181",13.4928
"Ind-182",19.007
"Ind-183",33.0539
"Ind-184",7.03313
"Ind-185",8.09747
"Ind-186",27.0061
"Ind-189",15.3157
"Ind-191",28.0281
"Ind-192",1.10249
"Ind-193",17.0019
"Ind-194",4.03328
"Ind-195",6.09125
"Ind-196",7.05443
"Ind-197",13.0385
"Ind-198",26.0337
"Ind-199",16.1647
"Ind-200",5.06659
